ep_year,ep_num,episode,title,air_date,synopsis
1,11,111,Germ Warfare,"December 10, 1972","After 'borrowing' some of Frank's blood and running tests on it, Hawkeye, Trapper, and Radar are forced to keep Frank, whom they believe has hepatitis, away from the rest of the camp, which isn't an easy thing to do considering Frank outranks them all and is looking for Margaret."
1,12,112,Dear Dad,"December 17, 1972","In the first of three such episodes, Hawkeye writes a letter to his father. He tells his dear old dad about the goings-on at the 4077th, which include Klinger attempting to kill himself, and Father Mulcahy talking him out of it, as well as Hawkeye taking on the persona of Santa Claus, and taking a trip to the front lines, all in order to save a critically wounded soldier."
1,13,113,Edwina,"December 24, 1972","Hawkeye is forced to go on a date with Nurse Eddie, after the rest of the nurses say they won't go out with anyone else until Eddie has her own date. The men all draw straws, and somehow Hawkeye ends up pulling the short straw. The ensuing date isn't Hawkeye's finest, Eddie continually hurts him, but in the end things turn out fine."
1,14,114,Love Story,"January 7, 1972","Radar falls for a new nurse, after the latest mail call brings him a Dear John letter from back home, with some help from Hawkeye and Trapper, that is. This new nurse is sophisticated, reading all the classics and listening to the best classical music. So, Hawkeye and Trapper give him a crash course on these subjects, which leads to Radar's wonderfully classic line: 'Ah, Bach!'"
1,15,115,Tuttle,"January 14, 1973","In one of their most outrageous stunts to date, Hawkeye, Trapper, and Radar make up an entire person! They name their creation Captain Tuttle, and the entire camp falls in love with this mysterious man who gives his entire salary to an orphanage (which is the reason Hawkeye & Co. came up with him in the first place). At the end of the episode, Hawkeye sadly informs the camp that Tuttle was killed in a tragic accident. Always thinking of others instead of himself, Tuttle leaped from a chopper without a parachute."
1,16,116,The Ringbanger,"January 21, 1973","Hawkeye, Trapper, and Radar come up with a plan, basically to get Henry drunk, to send a Colonel, who has a both a very high causality rate, and a tendency to tap his ring (hence the name Ringbanger), back home so he can't harm anyone else."
1,17,117,Sometimes You Hear the Bullet,"January 28th, 1973","In the first episode that really combines drama and comedy, Hawkeye's friend Tommy Gillis comes to visit. He's writing a book titled 'You Never Hear The Bullet', referring to all the war movies in which the bullet is heard right before it kills someone. After Tommy is critically wounded, and Hawkeye watches him die, unable to do something, he has a tearful talk with Henry, and then storms into Post-Op and informs the MPs of an underage soldier, who is outraged. In a lesser story, Frank applies for a Purple Heart after slipping in the mud."
1,18,118,Dear Dad... Again,"February 4, 1973","The second such named episode, Hawkeye tells his father of the problems facing Frank and Margaret's romantic liaison, as well as the course Radar is taking via mail."
1,19,119,The Longjohn Flap,"February 18, 1973","A classic episode in which Hawkeye's pair of long johns he receives from home travel from person to person, all over the camp, starting with Trapper, who has a cold, and ending up back with Hawkeye. Everyone who gets them trades them for something they want more."
1,20,120,The Army-Navy Game,"February 25, 1973","While the rest of the war listens to a football game between the Army and the Navy, the 4077th has to deal with a bomb that hasn't gone of yet, one that is in the middle of the camp. As everyone prepares for the end, and the camp is fortified with pillows and mattresses, Hawkeye and Trapper bravely set out to try and defuse the bomb. Sadly the bomb explodes - and Hawkeye and Trapper are covered in CIA propaganda pamphlets."
1,21,121,Sticky Wicket,"March 4, 1973",Hawkeye finally sees things from Frank's point of view after he and Frank have another argument about Frank's surgical abilities. The tides turn when Hawkeye suddenly has a patient take a turn for the worst and he is forced to consider the fact that his talents aren't always going to be enough.
1,22,122,Major Fred C. Dobbs,"March 11, 1973","Hawkeye and Trapper work to keep Frank from transferring away from the 4077th, by tricking their fellow Swamp-mate into thinking that there is gold abound in the area. The two go crazy with gold paint, and in the end Frank is left with nothing of worth, save for countless objects painted gold, including a jeep and numerous rocks."
1,23,123,Ceasefire,"March 18, 1973","The entire camp, with the exception of the pessimistic Trapper, is delighted to hear that a ceasefire has been called. Everyone begins planning for their lives after the war, Radar starts a scrapbook, Klinger gets rid of some dresses, and there is much merriment. That is, until wounded arriving proves Trapper correct; there was no cease-fire."
1,24,124,Showtime,"March 25, 1973","An entertainer, Jackie Flash, entertains the 4077th while a somewhat paranoid Captain Kaplan is certain he'll get hurt before he gets to go home, so he decides the safest thing to do is to drive himself to Kempo. Unfortunately, he crashes his jeep and is put in a cast."
